Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
1556,14,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,0-4-5,
1557,14,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,0-6-0,
1558,14,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,0-7-5,
1559,14,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,0-9-0,
1560,14,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,1-0-5,
1561,14,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,1-2-0,
1562,14,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,1-3-5,
1563,14,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,1-5-0,
1564,14,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,1-6-5,
1565,14,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,1-8-0,
1566,14,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,1-9-5,
1567,14,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,2-1-0,
1568,14,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,2-2-5,
1569,14,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,2-4-0,
1570,14,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,2-5-5,
1571,14,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,2-7-0,
1572,14,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,2-8-5,
1573,14,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,3-0-0,
1574,14,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,3-1-5,
1575,14,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,3-3-0,
1576,14,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,3-4-5,
1577,14,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,3-6-0,
1578,14,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,0-0-5,
1579,14,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,0-1-0,
1580,14,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,0-2-0,
1581,14,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,0-2-5,
1582,14,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,0-3-5,
1583,14,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,0-4-0,
1584,14,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,0-5-0,
1585,14,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,0-5-5,
1586,14,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,0-6-5,
1587,14,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,0-7-0,
1588,14,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,0-8-0,
1589,14,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,0-8-5,
1590,14,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,0-9-5,
1591,14,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,1-0-0,
1592,14,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,1-1-0,
1593,14,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,1-1-5,
1594,14,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,1-2-5,
1595,14,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,1-3-0,
1596,14,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,1-4-0,
1597,14,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,1-4-5,
1598,14,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,1-5-5,
1599,14,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,1-6-0,
1600,14,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,1-7-0,
1601,14,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,1-7-5,
1602,14,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,1-8-5,
1603,14,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,1-9-0,
1604,14,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,2-0-0,
1605,14,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,2-1-5,
1606,14,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,2-2-0,
1607,14,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,2-3-0,
1608,14,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,2-3-5,
1609,14,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,2-4-5,
1610,14,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,2-5-0,
1611,14,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,2-6-0,
1612,14,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,2-6-5,
1613,14,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,2-7-5,
1614,14,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,2-8-0,
1615,14,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,2-9-0,
1616,14,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,2-9-5,
1617,14,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,3-0-5,
1618,14,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,3-1-0,
1619,14,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,3-2-0,
1620,14,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,3-2-5,
1621,14,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,3-3-5,
1622,14,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,3-4-0,
1623,14,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,3-5-0,
1624,14,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,3-5-5,
1625,14,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,3 minutes,
1626,14,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,4 minutes,
1627,14,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,5 minutes,
1628,14,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,6 minutes,
1629,14,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,7 minutes,
1630,14,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,8 minutes,
1631,14,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,9 minutes,
1632,14,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,10 minutes,
1633,14,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,15 minutes,
1634,14,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,20 minutes,
1635,14,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 minutes,30 Minutes,
1636,14,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,10 seconds,
1637,14,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,20 seconds,
1638,14,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,30 seconds,
1639,14,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,40 seconds,
1640,14,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,50 seconds,
1641,12,Judy,Judy,Judy,Judy,Judy,Judy,Judy,Judy,Judy,Judy,Judy,Judy,,,Judy,
1642,12,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,Tumbleweed,,,Tumbleweed,
1643,12,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,no tankers available,,,No tankers available,
1644,12,repeat last transmission,can you repeat that?,repeat transmission,say again,your signal's breaking up,repeat transmission,repeat transmission,repeat last transmission,repeat last transmission,repeat transmission,repeat last transmission,repeat transmission,,,Repeat last transmission,
1645,12,send threats,send threats,send threats,send threats,send threats,send threats,send threats,send threats,send threats,send threats,send threats,send threats,,,Send Threats,
1646,14,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1 (emphasis on first word),
1647,14,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2 (emphasis on first word),
1648,14,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3 (emphasis on first word),
1649,14,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4 (emphasis on first word),
1650,14,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1 (emphasis on first word),
1651,14,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2 (emphasis on first word),
1652,14,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3 (emphasis on first word),
1653,14,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4 (emphasis on first word),
1654,14,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1 (emphasis on first word),
1655,14,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2 (emphasis on first word),
1656,14,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3 (emphasis on first word),
1657,14,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4 (emphasis on first word),
1658,14,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1 (emphasis on first word),
1659,14,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2 (emphasis on first word),
1660,14,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3 (emphasis on first word),
1661,14,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4 (emphasis on first word),
1662,14,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1 (emphasis on first word),
1663,14,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2 (emphasis on first word),
1664,14,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3 (emphasis on first word),
1665,14,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4 (emphasis on first word),
1666,14,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1 (emphasis on first word),
1667,14,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2 (emphasis on first word),
1668,14,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3 (emphasis on first word),
1669,14,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4 (emphasis on first word),
1670,14,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1 (emphasis on first word),
1671,14,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2 (emphasis on first word),
1672,14,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3 (emphasis on first word),
1673,14,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4 (emphasis on first word),
1674,14,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1 (emphasis on first word),
1675,14,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2 (emphasis on first word),
1676,14,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3 (emphasis on first word),
1677,14,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4 (emphasis on first word),
1678,14,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1 (emphasis on first word),
1679,14,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2 (emphasis on first word),
1680,14,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3,9-3 (emphasis on first word),
1681,14,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4,9-4 (emphasis on first word),
1682,14,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1 (emphasis on second word),
1683,14,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2,1-2 (emphasis on second word),
1684,14,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3,1-3 (emphasis on second word),
1685,14,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4,1-4 (emphasis on second word),
1686,14,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1,2-1 (emphasis on second word),
1687,14,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2,2-2 (emphasis on second word),
1688,14,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3,2-3 (emphasis on second word),
1689,14,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4,2-4 (emphasis on second word),
1690,14,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1,3-1 (emphasis on second word),
1691,14,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2,3-2 (emphasis on second word),
1692,14,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3,3-3 (emphasis on second word),
1693,14,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4,3-4 (emphasis on second word),
1694,14,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1,4-1 (emphasis on second word),
1695,14,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2,4-2 (emphasis on second word),
1696,14,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3,4-3 (emphasis on second word),
1697,14,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4,4-4 (emphasis on second word),
1698,14,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1,5-1 (emphasis on second word),
1699,14,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2,5-2 (emphasis on second word),
1700,14,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3,5-3 (emphasis on second word),
1701,14,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4,5-4 (emphasis on second word),
1702,14,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1,6-1 (emphasis on second word),
1703,14,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2,6-2 (emphasis on second word),
1704,14,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3,6-3 (emphasis on second word),
1705,14,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4,6-4 (emphasis on second word),
1706,14,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1,7-1 (emphasis on second word),
1707,14,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2,7-2 (emphasis on second word),
1708,14,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3,7-3 (emphasis on second word),
1709,14,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4,7-4 (emphasis on second word),
1710,14,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1,8-1 (emphasis on second word),
1711,14,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2,8-2 (emphasis on second word),
1712,14,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3,8-3 (emphasis on second word),
1713,14,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4,8-4 (emphasis on second word),
1714,14,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1,9-1 (emphasis on second word),
1715,14,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2,9-2 (emphasis on second word),
